"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Study","feature","breaks","stars"
35.589528250105,-2.76178918600272,0.886122431543954,-3.11671286911297,0.00182879596447742,0.000963931036864762,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","Morgan et al. 2012","Stool","[-3,-2)","**"
5.68714854408245,-3.32991542359679,0.826663240858856,-4.02814018939223,5.62198189377718e-05,0.0787586558881336,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia","Gevers et al.","Biopsy","[-4,-3)","***"
295.607578692233,-3.3734041627676,0.475084972404043,-7.10063327344869,1.24186511070701e-12,0.000645970394232975,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Gevers et al.","Biopsy","[-4,-3)","***"
389.80688915742,-2.2878443827678,0.908079542118058,-2.51943169805532,0.0117544443049842,0.0977088182851811,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Mottawea et al.","Lavage","[-3,-2)","*"
20.6397918689161,-1.84018359830657,0.477071888052375,-3.85724592957895,0.000114671773201926,0.102087307127047,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_5","Gevers et al.","Biopsy","[-2,-1)","***"
398.907876681101,-5.13043417714778,1.40814874954977,-3.64338936407688,0.000269071336489182,0.00688272012608544,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_6","Halfvarson et al.","Stool","[-30,-4)","***"
2.80459575371374,3.96342813561917,2.03742848010495,1.94530908658694,0.0517377891610639,0.0963907250515322,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_6","Morgan et al. 2012","Stool","[3,4)",""
30.6494373282525,-2.43592069085972,1.12566726209489,-2.16397933286824,0.0304659355821506,0.0774705219088973,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group","Forbes et al.","Stool","[-3,-2)","*"
49.2800383746001,-2.56755298915129,0.970883836280619,-2.64455220409002,0.00817990877910858,0.0316526904930723,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","Forbes et al.","Stool","[-3,-2)","**"
3.55816192582313,-5.92382174882714,2.19615281169546,-2.69736318769816,0.0069890997324007,0.110667347805004,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002","Yamada et al.","Stool","[-30,-4)","**"
